,1,2
Population 835,86.0,
Population 836,34.0,
Population 837,266.0,
Population 838,45.0,
Population 839,30.0,
Population 840,30.0,
Population 841,315.0,
Population 842,56.0,1.0
Population 843,35.0,
Population 844,192.0,
Population 845,82.0,1.0
Population 846,99.0,3.0
Population 847,59.0,
Population 848,93.0,
Population 849,107.0,
Population 850,48.0,
Population 851,325.0,
Population 852,182.0,
Population 853,56.0,
Population 854,42.0,
Population 855,40.0,
Population 856,194.0,
Population 857,120.0,
Population 858,40.0,
Population 859,23.0,
Population 860,176.0,
Population 861,64.0,
Population 862,37.0,
Population 863,55.0,
Population 864,109.0,
Population 865,61.0,
Population 866,93.0,
Population 867,77.0,
Population 868,73.0,7.0
Population 869,339.0,
Population 870,32.0,
Population 871,208.0,
Population 872,125.0,1.0
Population 873,42.0,
Population 874,142.0,3.0
Population 875,21.0,
Population 876,77.0,
Population 877,282.0,
Population 878,23.0,
Population 879,68.0,
Population 880,72.0,
Population 881,95.0,
Population 882,47.0,
Population 883,20.0,1.0
Population 884,204.0,
Population 885,14.0,
Population 886,76.0,
Population 887,21.0,
Population 888,40.0,
Population 889,29.0,
Population 890,188.0,1.0
Population 891,19.0,
Population 892,210.0,4.0
Population 893,41.0,
Population 894,14.0,
Population 895,2001.0,14.0
Population 896,73.0,
Population 897,17.0,
Population 898,35.0,
Population 899,256.0,
Population 900,40.0,
Population 901,239.0,
Population 902,79.0,
Population 903,71.0,
Population 904,90.0,
Population 905,16.0,
Population 906,224.0,
Population 907,42.0,
Population 908,45.0,
Population 909,105.0,
Population 910,51.0,
Population 911,234.0,18.0
Population 912,81.0,
Population 913,471.0,
Population 914,123.0,
Population 915,51.0,
Population 916,22.0,
Population 917,88.0,
Population 918,48.0,
Population 919,92.0,
Population 920,73.0,1.0
Population 921,96.0,3.0
Population 922,129.0,1.0
Population 923,19.0,
Population 924,119.0,
Population 925,49.0,
Population 926,32.0,
Population 927,57.0,
Population 928,306.0,1.0
Population 929,44.0,
Population 930,108.0,
Population 931,48.0,
Population 932,550.0,
Population 933,38.0,
Population 934,54.0,
Population 935,45.0,
Population 936,81.0,25.0
Population 937,23.0,
Population 938,131.0,1.0
Population 939,220.0,
Population 940,51.0,
Population 941,68.0,
Population 942,59.0,
Population 943,43.0,
Population 944,1633.0,5.0
Population 945,101.0,
Population 946,233.0,4.0
Population 947,111.0,
Population 948,57.0,
Population 949,80.0,
Population 950,150.0,
Population 951,32.0,
Population 952,27.0,
Population 953,3322.0,2.0
Population 954,61.0,
Population 955,135.0,4.0
Population 956,150.0,
Population 957,56.0,
Population 958,137.0,
Population 959,1544.0,2.0
Population 960,87.0,
Population 961,41.0,
Population 962,187.0,
Population 963,23.0,
Population 964,49.0,
Population 965,72.0,1.0
Population 966,46.0,
Population 967,16.0,
Population 968,308.0,
Population 969,97.0,
Population 970,228.0,
Population 971,67.0,
Population 972,61.0,
Population 973,112.0,
Population 974,426.0,
Population 975,64.0,
Population 976,50.0,
Population 977,30.0,
Population 978,54.0,
Population 979,85.0,
Population 980,228.0,1.0
Population 981,94.0,
Population 982,34.0,1.0
Population 983,99.0,1.0
Population 984,162.0,
Population 985,81.0,4.0
Population 986,39.0,
Population 987,40.0,
Population 988,1591.0,
Population 989,99.0,
Population 990,208.0,
Population 991,23.0,
Population 992,32.0,
Population 993,147.0,
Population 994,37.0,
Population 995,69.0,2.0
Population 996,1298.0,
Population 997,57.0,
Population 998,58.0,
Population 999,87.0,
