,1,2,3,4,5
Population 553,522663.0,22912.0,122.0,,
Population 554,441041.0,87000.0,281.0,,
Population 555,181233.0,25637.0,68.0,,
Population 556,96283.0,857042.0,6444.0,8.0,
Population 557,211971.0,1767.0,,,
Population 558,209605.0,1330.0,21.0,,
Population 559,460206.0,69848.0,247.0,,
Population 560,152805.0,3317.0,4.0,,
Population 561,183166.0,4571.0,57.0,,
Population 562,500660.0,25040.0,122.0,,
Population 563,622386.0,9081.0,24.0,,
Population 564,408366.0,190468.0,1848.0,,
Population 565,799132.0,6714.0,16.0,,
Population 566,642113.0,7696.0,30.0,,
Population 567,0.0,45496.0,309.0,,
Population 568,830273.0,9383.0,6.0,,
Population 569,628662.0,40348.0,357.0,,
Population 570,114436.0,1469.0,,,
Population 571,734251.0,114201.0,849.0,,
Population 572,438213.0,4006.0,10.0,,
Population 573,385090.0,232273.0,138261.0,1421.0,7.0
Population 574,548295.0,221105.0,6241.0,23.0,
Population 575,146367.0,1074.0,2.0,,
Population 576,125118.0,1954.0,5.0,,
Population 577,388919.0,5960.0,13.0,,
Population 578,214340.0,1951.0,1.0,,
Population 579,729075.0,68819.0,426.0,,
Population 580,160178.0,887.0,,,
Population 581,207251.0,3962.0,5.0,,
Population 582,670764.0,5443.0,20.0,,
Population 583,302562.0,4019.0,3.0,,
Population 584,307317.0,6773.0,11.0,,
Population 585,376440.0,179643.0,3867.0,13.0,
Population 586,234132.0,708894.0,7312.0,47.0,
Population 587,803754.0,23799.0,285.0,,
Population 588,217974.0,2380.0,18.0,,
Population 589,139650.0,2735.0,3.0,,
Population 590,342918.0,3772.0,1.0,,
Population 591,748695.0,6445.0,6.0,,
Population 592,234624.0,2403.0,50.0,,
Population 593,122690.0,8776.0,23.0,,
Population 594,232878.0,2109.0,,,
Population 595,776033.0,6150.0,14.0,,
Population 596,380616.0,2436.0,16.0,,
Population 597,113255.0,4520.0,2.0,,
Population 598,123973.0,1466.0,,,
Population 599,147524.0,4557.0,45.0,,
Population 600,403431.0,4368.0,140.0,,
Population 601,255959.0,42475.0,171.0,,
Population 602,950968.0,47151.0,1711.0,,
Population 603,380300.0,6498.0,5.0,,
Population 604,706625.0,83684.0,482.0,2.0,
Population 605,669510.0,57466.0,97.0,,
Population 606,141419.0,19831.0,69.0,,
Population 607,927559.0,32917.0,375.0,1.0,
Population 608,148226.0,1710.0,6.0,,
Population 609,107798.0,986.0,3.0,,
Population 610,248154.0,2710.0,1.0,,
Population 611,158287.0,1871.0,3.0,,
Population 612,495996.0,11158.0,21.0,,
Population 613,836501.0,11936.0,34.0,,
Population 614,290453.0,2503.0,3.0,,
Population 615,122257.0,2209.0,25.0,,
Population 616,195390.0,2967.0,6.0,,
Population 617,895334.0,20219.0,56.0,,
Population 618,92575.0,731.0,,,
Population 619,329876.0,5150.0,2.0,,
Population 620,557428.0,8980.0,76.0,,
Population 621,870550.0,25724.0,139.0,,
Population 622,122418.0,913.0,,,
Population 623,223522.0,5915.0,2.0,,
Population 624,402373.0,3201.0,7.0,,
Population 625,419864.0,7986.0,166.0,,
