,1,2,3
Population 775,8008.0,5.0,
Population 776,191.0,,
Population 777,29.0,,
Population 778,13660.0,206.0,
Population 779,11093.0,48.0,
Population 780,169.0,1.0,
Population 781,72.0,,
Population 782,18.0,,
Population 783,559.0,,
Population 784,40.0,,
Population 785,42.0,,
Population 786,11058.0,31.0,
Population 787,206.0,,
Population 788,13783.0,46.0,
Population 789,2881.0,6.0,
Population 790,27.0,,
Population 791,30.0,,
Population 792,1538.0,1.0,
Population 793,82.0,,
Population 794,49.0,,
Population 795,22.0,,
Population 796,113.0,,
Population 797,55.0,,
Population 798,153.0,,
Population 799,60.0,,
Population 800,63.0,,
Population 801,30.0,,
Population 802,4150.0,6.0,
Population 803,98.0,,
Population 804,2612.0,5.0,
Population 805,13.0,,
Population 806,1052.0,2.0,
Population 807,239.0,1.0,
Population 808,3627.0,21.0,
Population 809,41.0,,
Population 810,20.0,,
Population 811,105.0,,
Population 812,970.0,1.0,
Population 813,27.0,,
Population 814,232.0,1.0,
Population 815,20.0,,
Population 816,142.0,,
Population 817,12.0,,
Population 818,24.0,,
Population 819,72.0,,
Population 820,1062.0,1.0,
Population 821,16.0,,
Population 822,11947.0,96.0,
Population 823,926.0,1.0,
Population 824,20.0,,
Population 825,51.0,,
Population 826,171.0,1.0,
Population 827,24.0,,
Population 828,40.0,,
Population 829,16.0,,
Population 830,44.0,,
Population 831,9.0,,
Population 832,22.0,,
Population 833,28.0,,
Population 834,6394.0,21.0,
Population 835,170.0,,
Population 836,64.0,,
Population 837,36.0,1.0,
Population 838,77.0,,
Population 839,5041.0,2.0,
Population 840,43.0,,
Population 841,396.0,,
Population 842,63.0,,
Population 843,41.0,,
Population 844,5156.0,64.0,
Population 845,26.0,,
Population 846,7249.0,207.0,2.0
Population 847,137.0,,
Population 848,91.0,,
Population 849,451.0,,
Population 850,96.0,,
Population 851,14019.0,49.0,
Population 852,269.0,,
Population 853,46.0,,
Population 854,4008.0,10.0,
Population 855,15.0,,
Population 856,33.0,,
Population 857,146.0,,
Population 858,62.0,1.0,
Population 859,1221.0,,
Population 860,12893.0,49.0,1.0
Population 861,19.0,,
Population 862,9189.0,19.0,
Population 863,127.0,,
Population 864,716.0,1.0,
Population 865,29.0,,
Population 866,11.0,,
Population 867,120.0,,
Population 868,79.0,,
Population 869,5119.0,10.0,
Population 870,25.0,,
Population 871,18.0,,
Population 872,77.0,,
Population 873,106.0,,
Population 874,33.0,,
Population 875,2529.0,4.0,
Population 876,8536.0,74.0,
Population 877,2296.0,25.0,
Population 878,7208.0,28.0,
Population 879,393.0,,
Population 880,25.0,,
Population 881,42.0,,
Population 882,148.0,,
Population 883,27.0,,
Population 884,10.0,,
Population 885,150.0,,
Population 886,46.0,,
Population 887,125.0,,
Population 888,32.0,,
Population 889,26.0,,
Population 890,338.0,,
Population 891,55.0,,
Population 892,287.0,1.0,
Population 893,14.0,,
Population 894,12.0,,
Population 895,1140.0,,
Population 896,16.0,,
Population 897,45.0,,
Population 898,61.0,,
Population 899,1188.0,,
Population 900,90.0,,
Population 901,66.0,,
Population 902,11001.0,77.0,
Population 903,103.0,,
Population 904,33.0,,
Population 905,140.0,,
Population 906,17.0,,
Population 907,58.0,,
Population 908,41.0,,
Population 909,32.0,,
Population 910,35.0,,
Population 911,37.0,,
Population 912,215.0,,
Population 913,23.0,,
Population 914,29.0,,
Population 915,100.0,1.0,
Population 916,68.0,,
Population 917,22.0,,
Population 918,162.0,,
Population 919,457.0,84.0,
Population 920,52.0,,
Population 921,96.0,,
Population 922,59.0,,
Population 923,11.0,,
Population 924,14.0,,
Population 925,13.0,,
Population 926,20.0,,
Population 927,13657.0,21.0,
Population 928,35.0,,
Population 929,113.0,,
Population 930,36.0,,
Population 931,51.0,,
Population 932,92.0,,
Population 933,124.0,,
Population 934,125.0,,
Population 935,1092.0,12819.0,30.0
Population 936,100.0,,
Population 937,134.0,,
Population 938,61.0,,
Population 939,13639.0,36.0,
Population 940,432.0,,
Population 941,2212.0,,
Population 942,81.0,,
Population 943,199.0,1.0,
Population 944,1657.0,,
Population 945,279.0,,
Population 946,62.0,,
Population 947,97.0,,
Population 948,86.0,,
Population 949,64.0,,
Population 950,46.0,,
Population 951,36.0,,
Population 952,221.0,,
Population 953,11863.0,27.0,
Population 954,28.0,,
Population 955,55.0,,
Population 956,511.0,,
Population 957,424.0,,
Population 958,39.0,,
Population 959,26.0,,
Population 960,29.0,,
Population 961,121.0,,
Population 962,29.0,,
Population 963,47.0,,
Population 964,210.0,1.0,
Population 965,44.0,,
Population 966,4373.0,650.0,1.0
Population 967,180.0,,
Population 968,155.0,,
Population 969,134.0,,
Population 970,62.0,,
Population 971,35.0,,
Population 972,73.0,,
Population 973,83.0,,
Population 974,44.0,,
Population 975,11.0,,
Population 976,50.0,,
Population 977,30.0,,
Population 978,25.0,,
Population 979,106.0,,
Population 980,10.0,,
Population 981,122.0,,
Population 982,21.0,,
Population 983,86.0,,
Population 984,15.0,,
Population 985,13598.0,179.0,
Population 986,53.0,,
Population 987,6848.0,9.0,
Population 988,20.0,,
Population 989,1649.0,1.0,
Population 990,7981.0,10.0,
Population 991,272.0,,
Population 992,67.0,,
Population 993,188.0,,
Population 994,69.0,,
Population 995,209.0,,
Population 996,90.0,,
Population 997,2046.0,5.0,
Population 998,127.0,,
Population 999,8222.0,14.0,
