,1,2,3
Population 832,71.0,,
Population 833,29.0,,
Population 834,321.0,,
Population 835,82.0,,
Population 836,163.0,,
Population 837,80.0,,
Population 838,21.0,,
Population 839,2411.0,31.0,
Population 840,722.0,,
Population 841,50.0,,
Population 842,465.0,,
Population 843,1012.0,4.0,
Population 844,65.0,,
Population 845,30.0,,
Population 846,13162.0,28.0,
Population 847,59.0,,
Population 848,36.0,,
Population 849,229.0,,
Population 850,29.0,,
Population 851,53.0,,
Population 852,54.0,,
Population 853,240.0,1.0,
Population 854,105.0,,
Population 855,11770.0,33.0,
Population 856,78.0,,
Population 857,1117.0,,
Population 858,7233.0,25.0,
Population 859,18.0,,
Population 860,85.0,,
Population 861,38.0,,
Population 862,488.0,2.0,
Population 863,70.0,,
Population 864,119.0,,
Population 865,94.0,,
Population 866,15.0,,
Population 867,2499.0,2.0,
Population 868,252.0,,
Population 869,47.0,,
Population 870,1263.0,4.0,
Population 871,1017.0,1.0,
Population 872,2277.0,9.0,
Population 873,168.0,1.0,
Population 874,858.0,5.0,
Population 875,10.0,,
Population 876,33.0,,
Population 877,47.0,,
Population 878,21.0,,
Population 879,293.0,,
Population 880,8268.0,12.0,
Population 881,79.0,,
Population 882,18.0,,
Population 883,255.0,3.0,
Population 884,19.0,,
Population 885,131.0,,
Population 886,40.0,,
Population 887,343.0,,
Population 888,361.0,,
Population 889,1383.0,1.0,
Population 890,879.0,1.0,
Population 891,26.0,,
Population 892,363.0,,
Population 893,28.0,,
Population 894,12102.0,104.0,
Population 895,41.0,,
Population 896,391.0,,
Population 897,1412.0,3.0,
Population 898,220.0,,
Population 899,25.0,,
Population 900,94.0,,
Population 901,25.0,,
Population 902,976.0,55.0,
Population 903,87.0,,
Population 904,348.0,1.0,
Population 905,100.0,,
Population 906,31.0,,
Population 907,36.0,,
Population 908,51.0,,
Population 909,1835.0,,
Population 910,11644.0,115.0,
Population 911,464.0,,
Population 912,40.0,,
Population 913,351.0,,
Population 914,75.0,,
Population 915,320.0,,
Population 916,1129.0,,
Population 917,50.0,,
Population 918,9249.0,14.0,
Population 919,455.0,2.0,
Population 920,2234.0,2.0,
Population 921,861.0,,
Population 922,18.0,,
Population 923,249.0,,
Population 924,36.0,,
Population 925,67.0,,
Population 926,4426.0,9.0,
Population 927,16.0,1.0,
Population 928,99.0,,
Population 929,2470.0,15.0,
Population 930,593.0,,
Population 931,18.0,,
Population 932,56.0,,
Population 933,19.0,,
Population 934,71.0,,
Population 935,16.0,,
Population 936,484.0,,
Population 937,881.0,4.0,
Population 938,2518.0,2.0,
Population 939,59.0,,
Population 940,22.0,,
Population 941,545.0,,
Population 942,120.0,,
Population 943,10960.0,54.0,
Population 944,33.0,,
Population 945,35.0,,
Population 946,192.0,1.0,
Population 947,1181.0,1.0,
Population 948,823.0,5.0,
Population 949,247.0,,
Population 950,37.0,,
Population 951,74.0,,
Population 952,35.0,,
Population 953,41.0,,
Population 954,114.0,,
Population 955,104.0,,
Population 956,770.0,1.0,
Population 957,125.0,,
Population 958,61.0,,
Population 959,18.0,,
Population 960,40.0,,
Population 961,2945.0,3.0,
Population 962,76.0,,
Population 963,54.0,,
Population 964,64.0,,
Population 965,48.0,,
Population 966,32.0,,
Population 967,30.0,,
Population 968,27.0,,
Population 969,175.0,1.0,
Population 970,84.0,,
Population 971,25.0,1.0,
Population 972,39.0,8.0,
Population 973,54.0,,
Population 974,351.0,,
Population 975,32.0,,
Population 976,332.0,1.0,
Population 977,41.0,,
Population 978,5962.0,35.0,
Population 979,3556.0,14.0,
Population 980,6830.0,64.0,
Population 981,86.0,,
Population 982,78.0,,
Population 983,27.0,,
Population 984,27.0,,
Population 985,21.0,,
Population 986,13618.0,20.0,
Population 987,34.0,,
Population 988,18.0,,
Population 989,29.0,,
Population 990,154.0,,
Population 991,365.0,,
Population 992,32.0,,
Population 993,395.0,,
Population 994,356.0,,
Population 995,255.0,1.0,
Population 996,570.0,,
Population 997,41.0,,
Population 998,13893.0,28.0,
Population 999,18.0,,
