,1,2,3,4
Population 771,13181.0,33.0,,
Population 772,24688.0,98.0,,
Population 773,9605.0,27.0,,
Population 774,12165.0,111.0,,
Population 775,41844.0,277.0,2.0,
Population 776,12235.0,31.0,,
Population 777,8686.0,72.0,,
Population 778,22400.0,437.0,,
Population 779,10611.0,27.0,,
Population 780,21492.0,82.0,,
Population 781,15228.0,117.0,,
Population 782,27503.0,139.0,1.0,
Population 783,10373.0,15.0,,
Population 784,17446.0,42.0,,
Population 785,13591.0,56.0,,
Population 786,17834.0,184.0,,
Population 787,19455.0,68.0,,
Population 788,31026.0,204.0,,
Population 789,18535.0,85.0,,
Population 790,18830.0,115.0,,
Population 791,118237.0,616.0,,
Population 792,20413.0,220.0,2.0,
Population 793,20513.0,66.0,,
Population 794,19273.0,41.0,,
Population 795,36460.0,1329.0,29.0,
Population 796,9903.0,50.0,,
Population 797,26204.0,284.0,1.0,
Population 798,11178.0,26.0,,
Population 799,15642.0,67.0,,
Population 800,12543.0,18.0,,
Population 801,15115.0,38.0,,
Population 802,9959.0,82.0,,
Population 803,10994.0,13.0,,
Population 804,17510.0,32.0,,
Population 805,26715.0,152.0,,
Population 806,26312.0,145.0,,
Population 807,15980.0,73.0,,
Population 808,16746.0,193.0,,
Population 809,12201.0,373.0,,
Population 810,9834.0,54.0,,
Population 811,10488.0,22.0,,
Population 812,14916.0,33.0,,
Population 813,10979.0,42.0,,
Population 814,8911.0,79.0,,
Population 815,22191.0,89.0,,
Population 816,13810.0,62.0,,
Population 817,9751.0,66.0,,
Population 818,9694.0,32.0,,
Population 819,15083.0,80.0,,
Population 820,13685.0,36.0,,
Population 821,19172.0,67.0,,
Population 822,34172.0,278.0,,
Population 823,41412.0,435.0,4.0,
Population 824,21035.0,61.0,,
Population 825,9693.0,23.0,,
Population 826,30246.0,79.0,,
Population 827,13710.0,72.0,,
Population 828,10195.0,57.0,,
Population 829,11394.0,53.0,,
Population 830,12271.0,362.0,,
Population 831,37970.0,473.0,3.0,
Population 832,15700.0,27.0,,
Population 833,15634.0,39.0,,
Population 834,13813.0,43.0,3.0,
Population 835,11000.0,190.0,,
Population 836,18095.0,134.0,,
Population 837,9821.0,33.0,,
Population 838,12278.0,88.0,,
Population 839,18844.0,61.0,,
Population 840,25799.0,145.0,,
Population 841,30953.0,162.0,,
Population 842,33542.0,107.0,,
Population 843,10655.0,43.0,,
Population 844,28556.0,162.0,,
Population 845,12213.0,49.0,,
Population 846,18361.0,62.0,,
Population 847,26930.0,162.0,,
Population 848,475400.0,6119.0,13.0,
Population 849,13735.0,54.0,,
