,1,2,3
Population 740,9053.0,11.0,
Population 741,8207.0,20.0,
Population 742,12713.0,22.0,
Population 743,12558.0,65.0,
Population 744,13945.0,56.0,
Population 745,12009.0,46.0,
Population 746,14425.0,128.0,
Population 747,22134.0,95.0,
Population 748,10203.0,23.0,
Population 749,15059.0,112.0,
Population 750,7445.0,5.0,
Population 751,19934.0,246.0,
Population 752,8658.0,51.0,
Population 753,11231.0,22.0,
Population 754,8890.0,26.0,
Population 755,7768.0,66.0,
Population 756,7471.0,6.0,
Population 757,7387.0,20.0,
Population 758,11736.0,40.0,2.0
Population 759,8351.0,4.0,
Population 760,9208.0,48.0,
Population 761,9156.0,1.0,
Population 762,8152.0,20.0,
Population 763,7732.0,15.0,
Population 764,9643.0,11.0,
Population 765,8419.0,29.0,
Population 766,10166.0,36.0,
Population 767,7481.0,21.0,
Population 768,18922.0,298.0,
Population 769,13202.0,35.0,
Population 770,7716.0,22.0,
Population 771,9846.0,43.0,1.0
Population 772,11991.0,12.0,
Population 773,35737.0,162.0,
Population 774,10277.0,47.0,
Population 775,8411.0,104.0,
Population 776,9993.0,16.0,
Population 777,7315.0,27.0,
Population 778,8248.0,26.0,
Population 779,8375.0,32.0,
Population 780,8312.0,27.0,
Population 781,16014.0,84.0,
Population 782,8952.0,19.0,
Population 783,7803.0,11.0,1.0
Population 784,8047.0,12.0,
Population 785,10135.0,14.0,
Population 786,9574.0,22.0,
Population 787,9690.0,46.0,
Population 788,17069.0,110.0,
Population 789,6098.0,24.0,
Population 790,9183.0,26.0,
Population 791,8975.0,14.0,
Population 792,178182.0,1560.0,8.0
Population 793,7447.0,37.0,
Population 794,10741.0,41.0,
Population 795,11481.0,21.0,
Population 796,7966.0,128.0,
Population 797,13371.0,277.0,
Population 798,20812.0,70.0,6.0
Population 799,11025.0,51.0,
Population 800,9611.0,27.0,
Population 801,8054.0,17.0,
Population 802,13407.0,26.0,
Population 803,33115.0,166.0,
Population 804,11103.0,41.0,
Population 805,14442.0,75.0,
Population 806,19276.0,85.0,1.0
Population 807,7431.0,26.0,
Population 808,19422.0,77.0,
Population 809,10796.0,20.0,
Population 810,8903.0,54.0,
Population 811,10681.0,56.0,
Population 812,8709.0,38.0,
Population 813,10821.0,23.0,
Population 814,6500.0,5.0,
Population 815,12714.0,26.0,
Population 816,9832.0,9.0,
Population 817,15569.0,42.0,
Population 818,10329.0,35.0,
Population 819,10789.0,79.0,
Population 820,12839.0,56.0,
Population 821,8862.0,14.0,
Population 822,10444.0,42.0,
Population 823,6379.0,10.0,
Population 824,9655.0,45.0,
Population 825,7231.0,24.0,
Population 826,34181.0,259.0,17.0
Population 827,12878.0,54.0,
Population 828,12238.0,24.0,
Population 829,17735.0,68.0,
Population 830,11102.0,12.0,
Population 831,13865.0,50.0,
Population 832,9315.0,37.0,
Population 833,8994.0,21.0,
Population 834,7664.0,40.0,
Population 835,8686.0,19.0,
Population 836,8237.0,15.0,
Population 837,10377.0,22.0,
Population 838,16051.0,61.0,
Population 839,7643.0,14.0,
Population 840,13405.0,405.0,2.0
Population 841,9060.0,45.0,
Population 842,8620.0,15.0,
Population 843,9891.0,92.0,
Population 844,37575.0,429.0,
Population 845,15201.0,94.0,
Population 846,19540.0,138.0,
Population 847,9210.0,33.0,
Population 848,8725.0,15.0,
Population 849,20135.0,143.0,
Population 850,8624.0,30.0,
Population 851,14169.0,128.0,
Population 852,7690.0,67.0,
Population 853,5751.0,,
Population 854,9283.0,44.0,
Population 855,7695.0,28.0,
Population 856,9715.0,42.0,
Population 857,13695.0,31.0,
Population 858,7823.0,17.0,
Population 859,8810.0,18.0,
Population 860,6497.0,15.0,
Population 861,12423.0,36.0,
Population 862,6314.0,12.0,
Population 863,159066.0,1888.0,14.0
Population 864,8950.0,233.0,
Population 865,7954.0,34.0,
Population 866,8944.0,24.0,
Population 867,9914.0,13.0,
Population 868,12552.0,72.0,
Population 869,11704.0,64.0,2.0
Population 870,17672.0,68.0,
Population 871,13680.0,76.0,
Population 872,6403.0,8.0,
Population 873,6456.0,12.0,
Population 874,8967.0,29.0,
Population 875,8564.0,18.0,
Population 876,43595.0,226.0,
Population 877,11823.0,40.0,
Population 878,7772.0,48.0,
Population 879,12215.0,75.0,
Population 880,20555.0,115.0,
Population 881,20791.0,483.0,
Population 882,24787.0,121.0,
Population 883,9862.0,19.0,
Population 884,9004.0,83.0,
Population 885,11200.0,32.0,
Population 886,10253.0,24.0,
Population 887,9682.0,49.0,
Population 888,10319.0,74.0,
Population 889,15808.0,49.0,
Population 890,9697.0,39.0,
Population 891,13645.0,47.0,
Population 892,10681.0,117.0,
Population 893,23733.0,65.0,
Population 894,7864.0,25.0,
Population 895,9276.0,20.0,
Population 896,13816.0,48.0,
Population 897,8082.0,19.0,
Population 898,16651.0,20.0,
Population 899,9442.0,38.0,
Population 900,13341.0,122.0,2.0
Population 901,8817.0,14.0,
Population 902,11315.0,69.0,
Population 903,12505.0,52.0,
Population 904,25540.0,216.0,
Population 905,13434.0,60.0,
Population 906,9150.0,27.0,
Population 907,7649.0,13.0,
Population 908,8363.0,39.0,
Population 909,12375.0,97.0,
Population 910,249859.0,1493.0,5.0
Population 911,11793.0,36.0,
Population 912,7514.0,35.0,
Population 913,8707.0,16.0,
Population 914,7987.0,57.0,
Population 915,7462.0,11.0,
Population 916,10450.0,48.0,
Population 917,9091.0,17.0,
