,1,2,3
Population 871,51.0,,
Population 872,96.0,,
Population 873,75.0,,
Population 874,63.0,,
Population 875,151.0,,
Population 876,45.0,,
Population 877,19.0,,
Population 878,45.0,1.0,
Population 879,42.0,,
Population 880,60.0,,
Population 881,579.0,,
Population 882,60.0,,
Population 883,42.0,,
Population 884,169.0,3.0,
Population 885,51.0,,
Population 886,31.0,,
Population 887,81.0,1.0,
Population 888,240.0,,
Population 889,27.0,,
Population 890,308.0,1.0,
Population 891,50.0,,
Population 892,110.0,,
Population 893,175.0,,
Population 894,32.0,,
Population 895,72.0,,
Population 896,119.0,,
Population 897,132.0,,
Population 898,70.0,,
Population 899,38.0,,
Population 900,319.0,,
Population 901,170.0,1.0,
Population 902,13.0,,
Population 903,64.0,,
Population 904,50.0,,
Population 905,91.0,,
Population 906,55.0,,
Population 907,702.0,,
Population 908,36.0,,
Population 909,38.0,,
Population 910,32.0,,
Population 911,23.0,,
Population 912,70.0,,
Population 913,76.0,,
Population 914,23.0,,
Population 915,72.0,,
Population 916,67.0,,
Population 917,143.0,,
Population 918,22.0,,
Population 919,119.0,,
Population 920,34.0,,
Population 921,41.0,,
Population 922,46.0,,
Population 923,91.0,,
Population 924,145.0,,
Population 925,4076.0,33.0,
Population 926,39.0,,
Population 927,35.0,,
Population 928,41.0,,
Population 929,57.0,,
Population 930,72.0,,
Population 931,352.0,,
Population 932,9568.0,20.0,
Population 933,36.0,,
Population 934,220.0,,
Population 935,28.0,,
Population 936,78.0,1.0,
Population 937,25.0,,
Population 938,68.0,,
Population 939,81.0,,
Population 940,83.0,,
Population 941,226.0,,
Population 942,58.0,,
Population 943,62.0,,
Population 944,32.0,,
Population 945,35.0,,
Population 946,60.0,,
Population 947,54.0,,
Population 948,120.0,,
Population 949,61.0,,
Population 950,41.0,,
Population 951,67.0,,
Population 952,211.0,4.0,
Population 953,58.0,,
Population 954,46.0,,
Population 955,271.0,4.0,
Population 956,34.0,,
Population 957,46.0,,
Population 958,32.0,1.0,
Population 959,37.0,,
Population 960,56.0,1.0,
Population 961,126.0,,
Population 962,30.0,,
Population 963,192.0,,
Population 964,46.0,,
Population 965,114.0,,
Population 966,54.0,,
Population 967,36.0,,
Population 968,492.0,3.0,
Population 969,45.0,,
Population 970,249.0,,
Population 971,46.0,,
Population 972,71.0,,
Population 973,45.0,,
Population 974,44.0,,
Population 975,92.0,,
Population 976,246.0,,
Population 977,143.0,,
Population 978,63.0,,
Population 979,41.0,,
Population 980,61.0,,
Population 981,50.0,,
Population 982,28.0,,
Population 983,302.0,,
Population 984,74.0,,
Population 985,81.0,,
Population 986,64.0,,
Population 987,90.0,,
Population 988,101.0,1.0,
Population 989,21.0,,
Population 990,146.0,,
Population 991,26.0,,
Population 992,348.0,,
Population 993,48.0,,
Population 994,50.0,,
Population 995,41.0,,
Population 996,76.0,,
Population 997,463.0,,
Population 998,25.0,,
Population 999,22.0,,
