,1,2,3,4,5,6
Population 378,6629260.0,97970291.0,11230191.0,56702.0,,
Population 379,75269625.0,39541606.0,996496.0,5993.0,,
Population 380,96485191.0,18883772.0,452584.0,1144.0,,
Population 381,0.0,104281083.0,10809331.0,79119.0,215.0,
Population 382,11248580.0,101959152.0,2697010.0,7172.0,,
Population 383,4115130.0,97443155.0,14295046.0,31586.0,,
Population 384,65162910.0,50356806.0,367335.0,305.0,,
Population 385,98131112.0,17555038.0,136879.0,,,
Population 386,60927692.0,54015232.0,509385.0,428.0,,
Population 387,16642292.0,97836351.0,1390156.0,1303.0,,
Population 388,92410965.0,23003915.0,283303.0,28289.0,,
Population 389,128196.0,113502165.0,2218536.0,7927.0,,
Population 390,62563747.0,49410897.0,3416183.0,9338.0,,
Population 391,37505293.0,76645986.0,1752478.0,1412.0,,
Population 392,0.0,75775424.0,39881636.0,215975.0,246.0,
Population 393,39932212.0,74166417.0,1790575.0,3000.0,,
Population 394,58172583.0,33095079.0,24256911.0,333072.0,912.0,
Population 395,13330890.0,79263247.0,23080702.0,79509.0,,
Population 396,11458110.0,102789786.0,1642109.0,4837.0,,
Population 397,40764213.0,74468895.0,637886.0,24338.0,,
Population 398,17042236.0,93291590.0,4646418.0,855862.0,746.0,
Population 399,1134664.0,110136165.0,4597707.0,9284.0,,
Population 400,14097759.0,95053709.0,6545440.0,94799.0,626.0,
Population 401,27325412.0,86644412.0,1909261.0,5302.0,,
Population 402,97288845.0,18383805.0,177445.0,3648.0,,
Population 403,0.0,83399092.0,32205570.0,250177.0,260.0,
Population 404,0.0,33786696.0,53254265.0,206990.0,102.0,
Population 405,41155924.0,73474461.0,1262532.0,3296.0,106.0,
Population 406,11250213.0,99836478.0,4775047.0,16663.0,,
Population 407,70365287.0,44670032.0,438196.0,1992.0,,
Population 408,93393681.0,22301994.0,134693.0,,,
Population 409,47643082.0,67135482.0,1104146.0,4927.0,,
Population 410,107018674.0,8646047.0,36545.0,,,
Population 411,0.0,59125649.0,55172126.0,495169.0,432.0,
Population 412,93526438.0,21892045.0,244217.0,465.0,,
Population 413,9332289.0,62649784.0,42254456.0,1643794.0,5810.0,
Population 414,22238399.0,92757248.0,907882.0,1045.0,,
Population 415,104773151.0,10899950.0,102726.0,145.0,,
Population 416,65760420.0,48814976.0,1279876.0,1858.0,,
Population 417,106873956.0,8596717.0,97661.0,,,
Population 418,17277640.0,87291116.0,11285286.0,68307.0,159.0,
Population 419,374191.0,17576272.0,93512451.0,4418154.0,12033.0,
Population 420,9264057.0,100296927.0,6275280.0,53551.0,,
Population 421,34468635.0,80099420.0,1289816.0,1306.0,,
Population 422,66198076.0,49239434.0,424602.0,302.0,,
Population 423,8535975.0,100957544.0,6355573.0,40171.0,196.0,
Population 424,86496418.0,29180778.0,189232.0,388.0,,
Population 425,669163.0,91606688.0,23441524.0,159293.0,149.0,
Population 426,29641156.0,32107782.0,53786777.0,366825.0,132.0,
Population 427,15984293.0,97904260.0,1855024.0,151621.0,,
Population 428,51997659.0,62158663.0,1732537.0,3289.0,,
Population 429,4166315.0,104984338.0,6579904.0,61708.0,,
Population 430,9656070.0,103251133.0,2974625.0,7375.0,,
Population 431,114193476.0,1610542.0,5479.0,,,
Population 432,56847974.0,57630652.0,1311711.0,1506.0,,
Population 433,707473.0,107458327.0,7645443.0,56221.0,,
Population 434,0.0,0.0,73352792.0,26492682.0,283992.0,980.0
Population 435,56351789.0,56127317.0,3412018.0,7930.0,,
Population 436,282889.0,109187600.0,6319480.0,71279.0,192.0,
Population 437,78922630.0,36529703.0,390481.0,554.0,,
Population 438,15441975.0,97562818.0,2870013.0,7662.0,,
Population 439,81856739.0,33470042.0,502478.0,6208.0,,
Population 440,2426117.0,109529702.0,3926775.0,21989.0,,
Population 441,94143843.0,20731038.0,730653.0,1945.0,,
Population 442,32369559.0,82694679.0,805763.0,1333.0,,
Population 443,33397330.0,81464058.0,1021232.0,13509.0,,
Population 444,33836686.0,79166046.0,2876751.0,16191.0,,
Population 445,2408415.0,101380108.0,12040545.0,36762.0,,
Population 446,108330153.0,7455766.0,43390.0,,,
Population 447,26501774.0,88103744.0,1229824.0,3802.0,,
Population 448,68243749.0,47219462.0,358242.0,111.0,,
Population 449,48162530.0,66724027.0,488955.0,508194.0,612.0,
Population 450,15419141.0,78433071.0,21974595.0,72654.0,,
Population 451,15790310.0,97789611.0,2321244.0,10744.0,,
Population 452,40973501.0,74227483.0,712432.0,1061.0,,
Population 453,53735807.0,53532410.0,8605567.0,18953.0,,
Population 454,71461645.0,43662526.0,753454.0,2163.0,,
Population 455,54634952.0,24934414.0,35732711.0,562407.0,606.0,
Population 456,100478623.0,15154632.0,118491.0,426.0,,
Population 457,100119137.0,15243245.0,483636.0,2504.0,,
Population 458,84282802.0,30429149.0,1157495.0,586.0,,
Population 459,9839299.0,103809828.0,2269974.0,3657.0,,
Population 460,11198133.0,100544228.0,4124824.0,48073.0,,
Population 461,0.0,64981642.0,840797.0,218.0,,
Population 462,95103053.0,20412491.0,341172.0,1596.0,,
Population 463,58180693.0,57259484.0,469378.0,,,
Population 464,65395083.0,48592232.0,1668559.0,2623.0,,
