,1,2,3,4
Population 512,18511.0,108.0,,
Population 513,16671.0,36.0,,
Population 514,12528.0,65.0,,
Population 515,11218.0,33.0,,
Population 516,8288.0,8.0,,
Population 517,6789.0,6.0,,
Population 518,7295.0,9.0,,
Population 519,12273.0,17.0,,
Population 520,8672.0,42.0,,
Population 521,33144.0,122.0,,
Population 522,7859.0,23.0,,
Population 523,11760.0,90.0,,
Population 524,21573.0,112.0,,
Population 525,7140.0,23.0,,
Population 526,13032.0,39.0,,
Population 527,9576.0,22.0,,
Population 528,8900.0,110.0,,
Population 529,20100.0,287.0,3.0,
Population 530,10201.0,44.0,,
Population 531,30785.0,145.0,,
Population 532,7372.0,3.0,,
Population 533,11990.0,41.0,,
Population 534,48241.0,828.0,10.0,
Population 535,13228.0,620.0,,
Population 536,7967.0,10.0,,
Population 537,25770.0,224.0,,
Population 538,10076.0,30.0,,
Population 539,80900.0,670.0,1.0,
Population 540,6852.0,21.0,,
Population 541,17776.0,177.0,,
Population 542,20284.0,85.0,,
Population 543,13978.0,27.0,,
Population 544,13567.0,24.0,,
Population 545,21993.0,41.0,,
Population 546,12945.0,29.0,,
Population 547,10514.0,23.0,,
Population 548,21980.0,132.0,,
Population 549,9821.0,6.0,,
Population 550,14212.0,283.0,,
Population 551,7924.0,1493.0,165.0,
Population 552,10242.0,60.0,,
Population 553,9884.0,309.0,,
Population 554,13614.0,73.0,,
Population 555,13286.0,93.0,,
Population 556,28554.0,71.0,,
Population 557,13807.0,21.0,,
Population 558,7578.0,32.0,,
Population 559,12077.0,23.0,,
Population 560,8975.0,44.0,4.0,
Population 561,6658.0,8.0,,
Population 562,12683.0,64.0,,
Population 563,14928.0,199.0,,
Population 564,11357.0,37.0,,
Population 565,10968.0,24.0,,
Population 566,6943.0,31.0,,
Population 567,9758.0,49.0,,
Population 568,9655.0,234.0,,
Population 569,8537.0,862.0,,
Population 570,39675.0,461.0,,
Population 571,8521.0,6.0,,
Population 572,15217.0,33.0,,
Population 573,5869.0,7.0,,
Population 574,13258.0,77.0,,
Population 575,14614.0,301.0,,
Population 576,6730.0,11.0,,
Population 577,10029.0,19.0,,
Population 578,8548.0,13.0,,
Population 579,7415.0,21.0,,
Population 580,7117.0,189.0,,
Population 581,10444.0,19.0,,
Population 582,8751.0,35.0,,
Population 583,9799.0,276.0,1.0,
Population 584,9567.0,305.0,1.0,
Population 585,6707.0,12.0,,
