,1,2,3,4,5,6
Population 399,4779776.0,102271515.0,8812799.0,33899.0,,
Population 400,2260187.0,103077000.0,10478615.0,72694.0,,
Population 401,7470603.0,106993228.0,1439890.0,7944.0,,
Population 402,95060784.0,20675537.0,132312.0,312.0,,
Population 403,194874.0,102201800.0,13386410.0,85581.0,447.0,
Population 404,35732650.0,48009697.0,4699971.0,24715634.0,2749322.0,2512.0
Population 405,3584934.0,110553331.0,1733868.0,5243.0,,
Population 406,25763472.0,55622812.0,34223154.0,300953.0,2661.0,
Population 407,4663698.0,103893918.0,7302352.0,44905.0,,
Population 408,0.0,66849914.0,48502253.0,464341.0,733.0,
Population 409,15690433.0,97825849.0,2346495.0,43287.0,,
Population 410,25693074.0,88268851.0,1946615.0,13070.0,,
Population 411,64980529.0,50186154.0,721547.0,8852.0,,
Population 412,49354490.0,65735735.0,782191.0,6973.0,,
Population 413,0.0,99492039.0,5069214.0,25725.0,,
Population 414,102486318.0,13273139.0,98305.0,211.0,,
Population 415,8115015.0,106091567.0,1691155.0,4992.0,,
Population 416,68420875.0,47062657.0,393290.0,1106.0,,
Population 417,14210792.0,91386626.0,10242576.0,16118.0,,
Population 418,19930561.0,94287038.0,1674799.0,4550.0,,
Population 419,98357173.0,16597867.0,813832.0,91109.0,,
Population 420,14871296.0,99940163.0,1071665.0,4057.0,,
Population 421,443737.0,6556646.0,104948971.0,3918658.0,7151.0,
Population 422,0.0,108507643.0,7100059.0,187339.0,579.0,
Population 423,3756823.0,107815816.0,4303610.0,19881.0,,
Population 424,73753895.0,40722609.0,1394372.0,9621.0,,
Population 425,493018.0,98108803.0,17167377.0,103388.0,711.0,
Population 426,73196758.0,41511311.0,1138008.0,3740.0,,
Population 427,50120936.0,64706642.0,1082777.0,720.0,,
Population 428,9970335.0,105060197.0,894322.0,1497.0,,
Population 429,3294780.0,111415115.0,1178125.0,4070.0,,
Population 430,1312140.0,103323018.0,11120501.0,117038.0,1357.0,
Population 431,11884912.0,102427837.0,1604100.0,1917.0,,
Population 432,13852.0,92045408.0,23659865.0,149963.0,,
Population 433,0.0,89749651.0,23275387.0,393175.0,512.0,
Population 434,13302430.0,96436649.0,6043614.0,110963.0,384.0,
Population 435,432.0,103269831.0,10433141.0,164130.0,,
Population 436,37493724.0,77703602.0,711914.0,3508.0,,
Population 437,11959808.0,85168224.0,18540529.0,212055.0,,
Population 438,10320926.0,101036847.0,4517019.0,36622.0,101.0,
Population 439,52686087.0,62692182.0,495043.0,3259.0,486.0,
Population 440,17169474.0,81956583.0,16647090.0,116223.0,150.0,
Population 441,104530867.0,11098571.0,221576.0,1852.0,,
Population 442,4868386.0,108485011.0,2535840.0,5552.0,,
Population 443,2035245.0,86266647.0,27502820.0,115815.0,946.0,
Population 444,7207187.0,106499894.0,2190484.0,25194.0,302.0,
Population 445,3375351.0,101841702.0,10553935.0,119874.0,163.0,
Population 446,60929340.0,53913043.0,1030995.0,32029.0,,
Population 447,43117857.0,71243144.0,1505920.0,38758.0,189.0,
Population 448,46103664.0,69138189.0,642476.0,1433.0,,
Population 449,11779.0,113227086.0,1558211.0,6530.0,,
Population 450,13874334.0,93307388.0,8708789.0,14654.0,,
Population 451,1331689.0,105110822.0,9337366.0,125691.0,,
Population 452,22511924.0,32764889.0,59462834.0,1132478.0,36162.0,
Population 453,35435775.0,79439868.0,1023927.0,598.0,,
Population 454,2666793.0,110855345.0,2384168.0,6193.0,,
Population 455,25658232.0,88966099.0,1223005.0,28221.0,146.0,
Population 456,25023853.0,87036393.0,3818735.0,11987.0,,
Population 457,96075530.0,19180375.0,128980.0,490270.0,613.0,
