,1,2,3,4,5
Population 489,621626.0,14257.0,33.0,,
Population 490,862212.0,104200.0,746.0,,
Population 491,898180.0,20053.0,149.0,,
Population 492,369117.0,14096.0,174.0,,
Population 493,815209.0,7947.0,36.0,,
Population 494,972090.0,25630.0,207.0,,
Population 495,491525.0,16635.0,58.0,,
Population 496,573727.0,22592.0,1850.0,10.0,
Population 497,478692.0,3638.0,5.0,,
Population 498,138214.0,847854.0,10439.0,47.0,
Population 499,960033.0,39356.0,179.0,,
Population 500,960827.0,32421.0,134.0,,
Population 501,451594.0,11209.0,14.0,,
Population 502,350330.0,574629.0,11197.0,21.0,
Population 503,730066.0,9463.0,13.0,,
Population 504,796185.0,79780.0,435.0,,
Population 505,722137.0,251482.0,1699.0,3.0,
Population 506,776109.0,24299.0,333.0,,
Population 507,407248.0,440396.0,6327.0,14.0,
Population 508,666137.0,22765.0,94.0,,
Population 509,731131.0,91564.0,2735.0,25.0,
Population 510,436467.0,4537.0,,,
Population 511,745832.0,88313.0,484.0,,
Population 512,554030.0,55635.0,3482.0,1.0,
Population 513,397283.0,3871.0,52.0,,
Population 514,834736.0,25032.0,413.0,5.0,
Population 515,853585.0,57125.0,464.0,,
Population 516,793206.0,71179.0,229.0,,
Population 517,535906.0,453799.0,10254.0,29.0,
Population 518,166321.0,819209.0,13702.0,48.0,
Population 519,911708.0,32983.0,481.0,,
Population 520,894979.0,61709.0,385.0,,
Population 521,834754.0,37866.0,87.0,,
Population 522,683351.0,286724.0,2511.0,1.0,
Population 523,786978.0,17874.0,1012.0,,
Population 524,956165.0,11859.0,49.0,,
Population 525,505250.0,13378.0,9.0,,
Population 526,600640.0,177178.0,219005.0,715.0,
Population 527,951341.0,46727.0,335.0,1.0,
Population 528,900938.0,17337.0,144.0,,
Population 529,769583.0,75108.0,3544.0,6.0,
Population 530,901698.0,18691.0,77.0,,
Population 531,907471.0,88892.0,449.0,,
Population 532,928168.0,53435.0,586.0,,
Population 533,628291.0,42525.0,1342.0,2.0,
Population 534,974029.0,24996.0,104.0,,
Population 535,764284.0,47681.0,498.0,,
Population 536,802238.0,23953.0,39.0,,
Population 537,611755.0,71610.0,1398.0,,
Population 538,821399.0,17734.0,92.0,,
Population 539,646198.0,341392.0,11691.0,91.0,
Population 540,684995.0,21270.0,109.0,,
Population 541,950517.0,36402.0,1306.0,4.0,
Population 542,645426.0,8371.0,20.0,,
Population 543,642062.0,204395.0,1190.0,,
Population 544,940399.0,21240.0,67.0,,
Population 545,464935.0,20644.0,41.0,,
Population 546,785089.0,35803.0,131.0,,
Population 547,952699.0,45778.0,196.0,,
Population 548,723097.0,67458.0,236.0,,
Population 549,756056.0,28941.0,123.0,,
Population 550,951400.0,23411.0,93.0,,
Population 551,770369.0,7433.0,43.0,,
Population 552,947247.0,20639.0,113.0,,
Population 553,843753.0,11572.0,15.0,,
Population 554,624560.0,33415.0,53.0,,
Population 555,864048.0,108645.0,789.0,5.0,
Population 556,676278.0,13771.0,20.0,,
Population 557,864836.0,64920.0,1055.0,,
Population 558,599445.0,12876.0,16.0,,
Population 559,582018.0,7515.0,7.0,,
Population 560,802474.0,78053.0,1549.0,,
Population 561,313210.0,521976.0,3829.0,9.0,
Population 562,812430.0,151159.0,1609.0,,
Population 563,743677.0,37716.0,395.0,1.0,
Population 564,762193.0,32734.0,67.0,,
Population 565,922779.0,39170.0,149.0,1.0,
Population 566,847171.0,10329.0,61.0,2.0,
Population 567,944116.0,34546.0,319.0,,
Population 568,784266.0,18175.0,42.0,,
Population 569,712307.0,8373.0,13.0,,
Population 570,560999.0,418642.0,9893.0,33.0,
Population 571,872376.0,29312.0,127.0,,
Population 572,951974.0,37003.0,297.0,,
Population 573,881325.0,26945.0,42.0,,
Population 574,471449.0,23537.0,364.0,,
Population 575,922563.0,55406.0,3695.0,14.0,
Population 576,881939.0,29060.0,148.0,,
Population 577,826760.0,13500.0,15.0,,
Population 578,962887.0,7327.0,8.0,,
Population 579,37950.0,923093.0,19736.0,44.0,
Population 580,931229.0,9602.0,23.0,,
Population 581,898257.0,31050.0,133.0,,
Population 582,838118.0,31326.0,74.0,,
Population 583,936415.0,15657.0,21.0,,
Population 584,972139.0,21113.0,62.0,,
Population 585,426212.0,10025.0,313.0,,
Population 586,628370.0,59383.0,2394.0,3.0,
Population 587,791349.0,34260.0,384.0,,
Population 588,604186.0,6570.0,81.0,,
Population 589,592730.0,299065.0,5278.0,32.0,
Population 590,806339.0,13570.0,17.0,,
Population 591,970212.0,24073.0,79.0,,
Population 592,857036.0,94925.0,1743.0,23.0,
Population 593,963280.0,18808.0,29.0,,
Population 594,895817.0,103405.0,762.0,5.0,
Population 595,595675.0,95541.0,261.0,,
Population 596,908256.0,90070.0,1660.0,2.0,
Population 597,755691.0,197399.0,19034.0,292.0,
Population 598,777636.0,84101.0,423.0,,
Population 599,840023.0,51032.0,383.0,,
Population 600,872588.0,110602.0,1147.0,,
Population 601,782657.0,194089.0,981.0,,
